"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.00952090581352905,0.00631903293555113,1.50670298930776,0.132852211652761
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",6.37746698315139e-05,1.71462084605559e-05,3.71946194275107,0.000227164472664763
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0357021602549677,0.00683372098131779,5.22441000335999,2.77444127761948e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",7.48604067274162e-05,6.61476682181051e-06,11.3171648742905,4.69250102528482e-26
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.014151147408482,0.00525410040403061,2.69335306147293,0.00736114042707375
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0285835963534975,0.00637902438520026,4.48087272088397,1.02443118768334e-05
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0119279119899038,0.00645050310096394,1.84914444706202,0.0653365699968267
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0333464275219903,0.00670486117245072,4.97347024260634,9.64608453728015e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0302108783886001,0.00576284698823402,5.24235303319376,2.53017443632337e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",8.15841411635148e-05,7.23308873637949e-06,11.279294937055,3.46746834979429e-25
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.00491930908388693,0.00513365290414131,0.958247309614276,0.338637458231702
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",5.78224932421087e-05,2.19084373944606e-05,2.63927966203234,0.00870618250196554
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.00998775337194075,0.00570089664586042,1.75196183905441,0.0807177366589332
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",5.93179773558299e-05,1.75325406754996e-05,3.38330755671494,0.000784401730489835
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0389186497257618,0.00747266078671978,5.20813815005854,3.01266580233151e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",7.28750804193441e-05,6.92862028353544e-06,10.5179786793221,4.33697063841081e-23
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0136788866959964,0.00503693138401719,2.71571829217313,0.00689011375051148
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0302111829429266,0.00564040190287706,5.35621104012401,1.59104921861487e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0128482494192367,0.00569864467220767,2.25461494061873,0.0248167642264662
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0367513533533585,0.00738656548299667,4.97543187533603,9.55436140508218e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.031876934815299,0.00544863754191913,5.85044143055095,9.95539206248159e-09
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",-0.141435872946309,0.06960855358045,-2.03187490144935,0.0430531791134631
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",0.00857083542538054,0.000377076730604368,22.729685312704,4.86369917407598e-67
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.025556233519573,0.0749421980540213,0.341012596149782,0.733337669757427
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",0.00335799223450971,0.00115709988345579,2.90207637432365,0.00398728743158538
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.215952948402141,0.0455954425164078,4.73628363897179,3.08994267809454e-06
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",0.00552564383973946,0.000934624586881301,5.91215330443819,7.58402811096977e-09
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.0283238543344194,0.0514798912840627,0.550192582539272,0.582513979568086
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",0.0079534120918622,0.000350783709486322,22.6732652537057,2.37331129937961e-72
