"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.00415045475479885,0.0056553520900866,0.733898559927734,0.463530082802142
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",8.29546521189268e-05,6.91149906201055e-06,12.0024109639097,8.46916137472865e-28
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.00952090581352905,0.00631903293555113,1.50670298930776,0.132852211652761
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",6.12701258119099e-05,2.16207480326364e-05,2.83385781654839,0.00488473744510653
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","(Intercept)",2.01992554288612,0.241905515667185,8.35005988728736,1.03573038482676e-15
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.014151147408482,0.00525410040403061,2.69335306147293,0.00736114042707375
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",7.48604067274162e-05,6.61476682181051e-06,11.3171648742905,4.69250102528482e-26
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","(Intercept)",3.85119303685261,0.144300697642497,26.688665403364,4.3624679377585e-92
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0367513533533585,0.00738656548299667,4.97543187533603,9.55436140508218e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0302111829429266,0.00564040190287706,5.35621104012401,1.59104921861487e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0128482494192367,0.00569864467220767,2.25461494061873,0.0248167642264662
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re","(Intercept)",3.9546075583946,0.150185002254467,26.3315743851313,1.47321487298973e-90
